sample	Helicobacter	Comamonas	Caenimonas	Dorea	Sutterella	Anaerovibrio	Odoribacter	Succinivibrio	Sphingomonas	Aeromonas	Lactobacillus	Blautia	Enhydrobacter	Oscillibacter	Exiguobacterium	Desulfovibrio	Parabacteroides	Fusobacterium	Dialister	Parasutterella	Rubrobacter	Actinomyces	Streptococcus	Eubacterium	Diaphorobacter	Coprococcus	Acidovorax	Bacteroides	Butyricicoccus	Staphylococcus	Rheinheimera	Asaccharobacter	Hydrogenophaga	Serratia	Zoogloea	Vibrio	Acinetobacter	Curtobacterium	Clavibacter	Novosphingobium	Veillonella	Subdoligranulum	Paraprevotella	Lactococcus	Phascolarctobacterium	Clostridium	Megamonas	Coprobacillus	Chryseobacterium	Barnesiella	GpI	Aquabacterium	Escherichia/Shigella	Haemophilus	Pseudomonas	Burkholderia	Collinsella	Microbacterium	Turicibacter	Rikenella	Pantoea	Alistipes	Delftia	Azonexus	Streptophyta	Roseburia	Stenotrophomonas	Weeksella	Arthrobacter	Bacillus	Asticcacaulis	Prevotella	Faecalibacterium	Pseudoalteromonas	Slackia	Acidaminococcus	Gp1	Sphingobium	Succinispira	Klebsiella	Brachyspira	Ralstonia	Uruburuella	Ruminococcus	Eggerthella	Citrobacter	Rhizobium	Afipia	Enterococcus	Marinomonas	Anaerostipes	Propionibacterium
Tope_D5-649-840_2_1_1031.fas	0	0	0	243	0	0	2	0	32	1	0	179	0	25	0	0	23	0	0	0	0	0	10	0	0	118	0	223	14	0	1	3	0	0	0	2	0	0	0	0	0	19	0	0	17	1	0	275	0	7	0	0	2	1	0	1	18	0	0	0	0	14	0	0	0	502	0	591	0	0	0	0	405	6	3	2	0	0	0	6	0	0	0	102	2	0	0	0	0	4	0	0
Tope_D5-623-734_2_1_1170.fas	0	0	0	145	0	0	4	0	28	0	0	465	0	39	0	0	314	0	0	0	1	0	401	0	0	164	5	1979	12	0	0	0	0	2	0	3	0	0	0	0	9	0	0	1	22	161	2	934	0	42	0	0	228	7	4	17	28	1	0	0	2	78	1	1	1	181	0	0	0	0	0	2	206	8	0	0	0	0	0	16	0	0	2	0	13	1	0	2	0	3	0	3
Tope_D5-630-521_1_1_577.fas	5	4	0	28	26	22	0	79	180	2	76	284	0	47	1	3	45	2	0	2	32	0	6	6	22	148	111	562	6	0	1	1	0	0	9	3	42	0	9	3	0	11	29	134	7	22	2	198	6	0	0	58	35	0	39	21	14	11	33	0	14	14	29	2	119	240	15	144	0	53	0	154	110	11	0	2	0	2	0	12	0	5	1	23	8	0	14	0	0	6	0	9
Tope_D5-631-222_1_1_772.fas	3	0	0	200	17	1	5	60	218	9	154	235	0	85	8	0	49	8	0	26	8	2	42	152	11	211	22	746	12	0	3	6	0	0	4	3	12	2	5	0	4	16	41	18	22	11	0	28	1	3	0	14	5	10	60	10	31	7	15	0	80	79	13	9	359	238	11	289	1	35	1	115	2150	4	2	0	0	0	0	18	0	0	0	123	8	0	4	178	0	1	0	4
Tope_D5-686-456_1_1_63.fas	5	22	0	289	23	0	12	16	316	18	90	860	0	49	0	2	86	5	16	35	28	0	68	45	60	286	169	1084	18	0	8	0	0	1	15	8	146	2	4	3	0	34	43	22	26	0	5	156	0	5	1	94	23	5	68	22	236	3	28	0	7	72	12	4	100	665	13	71	3	61	1	22	460	72	3	0	0	3	19	24	0	0	4	61	6	5	8	1	0	42	0	43
Tope_D5-604-622_1_1_972.fas	3	8	246	222	47	8	0	261	433	10	70	573	3	138	1	2	91	3	0	16	283	3	76	85	13	196	111	1288	13	9	9	2	0	0	3	16	40	2	36	9	3	123	112	6	36	8	37	652	2	3	1001	23	49	6	49	5	161	4	20	0	10	28	42	48	159	533	32	147	0	32	3	453	717	16	8	2	0	2	1	8	0	1	5	50	27	0	30	1	0	17	0	22
Tope_D5-641-588_1_1_899.fas	6	0	0	120	49	1	0	1	241	17	31	728	1	15	1	4	114	0	0	0	2	0	25	10	6	125	22	954	15	1	9	0	0	2	3	11	13	4	7	0	0	124	7	53	45	0	0	623	0	4	4	16	7	0	22	5	48	5	6	0	14	17	7	0	75	171	7	7	6	30	0	15	153	21	0	0	0	0	0	8	0	2	1	3	16	0	6	1	0	17	0	1
Tope_D5-647-398_1_1_965.fas	11	11	0	324	104	0	5	8	680	118	74	862	0	56	1	0	35	5	3	3	23	7	151	7	11	172	60	746	19	5	35	0	0	5	13	59	10	1	15	0	10	44	13	83	6	0	0	155	4	6	1	18	72	13	98	16	81	10	16	0	55	33	77	9	210	540	24	328	9	104	0	129	245	151	3	0	0	0	9	37	0	0	44	126	2	9	31	15	0	205	0	13
Tope_D5-650-897_2_1_1.fas	5	1	0	192	0	0	2	0	41	0	10	167	1	121	4	0	16	0	0	118	0	1	14	234	11	198	30	931	3	2	0	1	0	2	0	0	70	0	0	1	1	47	0	11	0	0	0	56	2	20	0	0	138	3	20	1	27	3	1	0	16	43	3	7	41	624	5	2	1	537	0	3	685	0	0	0	0	0	0	8	0	0	0	68	2	1	1	13	0	0	0	9
Tope_D5-606-935_2_1_1302.fas	0	0	0	54	5	0	3	0	88	9	0	80	0	17	1	0	5	0	0	14	0	0	16	1	1	16	1	1036	0	1	3	0	0	0	0	8	0	0	0	0	3	2	0	1	29	1	0	10	0	0	0	0	222	0	2	0	8	0	2	0	1	3	1	3	1	134	0	543	0	1	1	0	165	14	0	0	0	0	0	6	0	0	3	10	9	1	1	0	0	25	0	1
