sampleID	Actinomycetales	Aeromonadales	Alteromonadales	Anaeroplasmatales	Bacillales	Bacteroidales	Bdellovibrionales	Bifidobacteriales	Burkholderiales	Campylobacterales	Caulobacterales	Clostridiales	Coriobacteriales	Cytophagales	Deferribacterales	Desulfovibrionales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Fusobacteriales	Gammaproteobacteria_incertae_sedis	Lactobacillales	Methanobacteriales	Mycoplasmatales	Neisseriales	Pasteurellales	Pseudomonadales	Puniceicoccales	Rhizobiales	Rhodospirillales	Selenomonadales	Solirubrobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Thermoplasmatales	Verrucomicrobiales	Xanthomonadales
sample0059	1.3514001849395285	0.0	0.0	0.0	0.0	3.827822852550165	0.803789968310779	0.0	2.1684517598761026	2.1661875021312618	0.0	4.179331248650777	2.259768165428112	0.0	0.0	0.8975005289170375	0.6841318246012565	2.344313521087026	0.0	0.0	0.0	4.034736125419359	0.0	0.6841318246012565	0.0	0.24709173629948528	0.0	0.0	0.24709173629948528	0.8531679279154595	1.858995394074908	0.0	0.0	0.24709173629948528	0.0	0.0	0.0	0.0
sample0060	0.8506070813682489	0.0	0.0	0.6677905904498702	0.0	3.492451929790415	1.5883169511963326	0.0	1.9357643989286188	2.2342694504376115	0.0	4.357764178446426	2.3684980916762477	0.0	0.3459365106108356	0.0	0.0	3.3548392995709255	0.0	0.0	0.0	3.6714932556283424	0.0	0.7687482267280639	0.0	0.0	0.0	0.0	0.0	0.3459365106108356	1.941853783012152	0.0	0.0	0.3459365106108356	0.0	0.0	0.0	0.0
sample0061	1.4814558030044598	0.0	0.0	0.0	0.0	3.183927626690077	0.6985859084655807	1.0138067577335326	1.9220780360764969	2.699358511885659	0.0	4.090823294186237	2.472277894012618	0.0	0.9538157152732837	1.113500134601549	1.0138067577335326	2.553808377348876	0.0	0.0	0.0	4.26079065442469	0.8841890697271735	1.7451236740340743	0.0	0.0	0.0	0.0	0.0	0.5639222664150855	1.4814558030044598	0.0	0.0	0.3677024657690222	0.0	0.3677024657690222	0.0	0.0
sample0062	1.0582166257403323	0.0	0.0	1.126811435716368	0.0	3.3173968597191514	0.8369186830285469	1.4630366839292601	2.2513613818908653	2.3970203890777553	0.0	4.316402899242715	2.2009095456768657	0.0	1.4221638427524474	1.4531734125112568	0.5573413153872299	2.8819921763725516	0.0	0.0	0.0	3.961920210132137	0.7454719877093706	1.4221638427524474	0.0	0.0	0.0	0.0	0.2180508783811504	0.9124191580270143	1.526439657525122	0.0	0.0	0.0	0.2180508783811504	0.0	0.0	0.0
sample0063	1.0010567187561084	0.0	0.0	0.5536875492579386	0.35968269311465095	3.9567035398664814	1.0010567187561084	0.0	2.30559713085258	2.0175990556223526	0.0	4.1889845881412	2.1701683102789437	0.0	0.0	0.0	0.0	3.1735675915815524	0.0	0.0	0.0	3.8410826099762683	0.0	0.8719214268562251	0.0	0.0	0.0	0.0	0.0	0.6873134093005768	1.8489062058527024	0.0	0.0	0.0	0.0	0.5536875492579386	0.0	0.35968269311465095
sample0064	1.2280509869919596	0.0	0.0	0.7994874503930118	0.2750090997524339	3.5871910788389023	0.562419644916478	0.0	2.03666882652806	2.108061275948766	0.0	4.298098081427447	2.5307792900161377	0.0	0.0	0.9068470814180165	0.4420683453229598	2.711320421807733	0.0	0.0	0.0	3.927761363786676	0.0	1.6716522929074837	0.0	0.562419644916478	0.0	0.0	0.0	0.0	2.07383040293413	0.0	0.0	0.0	0.0	0.0	0.2750090997524339	0.0
sample0065	1.267746648085452	0.0	0.0	0.0	0.25444377574112903	3.691737361033063	0.6974771509913016	0.0	2.0291548309604694	2.592530441010339	0.0	4.2878514668326275	2.1736574325550624	0.0	0.0	1.1122203730688982	0.41382545498959394	2.449311907862866	0.0	0.0	0.0	3.903054378856041	0.0	2.1167427332353173	0.0	0.25444377574112903	0.0	0.0	0.0	0.9121750796917529	1.8370093343428018	0.0	0.0	0.25444377574112903	0.0	0.0	0.0	0.0
sample0066	1.233603522262954	0.0	0.0	1.65390763696315	0.6258047789032197	3.7272054025833796	0.7242525556603576	0.3170032139775681	1.6103659385133682	2.0396830056174675	0.0	4.283235170448154	2.0880189467968475	0.0	0.0	0.7242525556603576	1.028341839705167	2.797740735175307	0.0	0.0	0.0	3.898843108542333	0.0	1.3521550593393807	0.0	0.3170032139775681	0.0	0.0	0.0	0.6258047789032197	1.4281071303340716	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0067	0.8962007238294842	0.0	0.0	0.24644650213857489	0.24644650213857489	3.716649800648378	1.3030817871106581	0.0	2.1413930972535	3.0079040010270566	0.0	4.279735609986822	2.2338203131339736	0.0	0.0	1.1906672683693373	0.24644650213857489	2.854392424623882	0.0	0.0	0.0	3.8502078483569893	0.0	0.0	0.0	0.0	0.0	0.0	0.24644650213857489	0.8962007238294842	1.776786241373398	0.0	0.0	0.0	0.24644650213857489	0.4027043884945643	0.4027043884945643	0.0
sample0068	1.2093719159496	0.0	0.0	0.4013085542417375	0.6811205010460181	3.1438984659605462	0.6811205010460181	0.0	1.57365113751085	1.3170821823390009	0.0	4.189210898923111	2.2137378883747285	0.0	0.0	0.4013085542417375	0.0	4.096518409101082	0.0	0.0	0.0	3.5859530131143647	0.0	0.5157678331219422	0.0	0.0	0.0	0.0	0.4013085542417375	0.4013085542417375	1.6235138211962923	0.0	0.0	0.0	0.0	0.0	0.0	0.0
