sampleID	Actinobacteria	Alphaproteobacteria	Bacilli	Bacteroidia	Betaproteobacteria	Chloroplast	Clostridia	Cytophagia	Deferribacteres	Deltaproteobacteria	Epsilonproteobacteria	Erysipelotrichia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Methanobacteria	Mollicutes	Negativicutes	Opitutae	Sphingobacteriia	Spirochaetia	Thermoplasmata	Verrucomicrobiae
sample0079	2.7612088378515636	0.39728248702476143	3.4232546793525893	3.330685559839207	2.7021971288782574	0.0	4.362280532885415	0.0	0.0	1.5843928199608994	1.853224972379096	3.6376426089012828	0.0	0.0	2.3501248122137195	0.511124593739872	1.3107109862658515	1.0596968683418013	0.0	0.0	0.0	0.24256849196913194	0.0
sample0080	2.50504193412102	0.9077938873908916	4.233643432836764	3.091727201030473	2.5036653516567977	0.0	4.101725078682659	0.0	0.7826323070560693	1.5734291582721014	1.9191204882041362	3.1874974504005333	0.0	0.0	1.944829630686735	1.046278827230972	2.2148538049210615	1.5962994430200295	0.0	0.0	0.0	0.0	0.0
sample0081	2.2337528594317915	1.083015230408128	4.383024157229687	3.5065065038010896	1.8666526535004626	0.0	3.72393107518744	0.0	0.240655826900308	0.9245000270390469	1.7042244348635098	2.7406759618721144	0.0	0.0	1.2559914479918062	0.0	0.7358034135421817	1.7903908661379535	0.0	0.0	0.0	0.0	0.0
sample0082	2.6095580538170227	0.9863418023646068	3.96515302907565	3.6420615621158277	1.7998524487530223	0.0	4.269940594520637	0.0	0.0	1.1660257179101916	1.505653883831213	2.860210007912293	0.0	0.0	1.505653883831213	0.0	0.0	1.98495205750622	0.0	0.0	0.0	0.0	0.0
sample0083	2.347244476890616	1.3249484130602651	3.920014211866021	3.3280372311339366	1.7289044696909972	0.0	4.257759309766407	0.0	0.0	1.301332040467094	2.0023537177325044	3.654777538440713	0.0	0.0	1.867469028111512	0.0	0.9459242526944265	1.6810199940229202	0.0	0.0	0.0	0.0	0.0
sample0084	2.26696182405656	1.780840711255083	4.06452722320675	3.8108861414495387	1.8742142340669203	0.0	4.135392600070486	0.0	0.5906445893548202	1.647807768872974	1.3832737798122028	3.12207725026904	0.0	0.0	1.6752253223595697	0.0	1.2642835998767266	2.0101644350179133	0.0	0.0	0.0	0.0	0.0
sample0085	2.323975041124131	1.1949854055485618	4.091767419517409	3.7414297105936156	1.8224120669187016	0.0	4.14332132094072	0.0	0.0	1.3285453779753476	2.533677165663533	2.9958357655562358	0.0	0.0	1.6744699317123282	0.3280184698248309	1.2799331156886284	2.093341198036205	0.0	0.0	0.0	0.0	0.0
sample0086	2.1458588084843906	1.7954055142263468	3.921667245332364	3.7630085852298776	2.6599484125518695	0.0	4.100848670523774	0.0	0.0	1.4403592797395348	1.7244666260809682	3.779491467503809	0.0	0.0	1.6451102643067728	0.0	0.8505133636658188	1.6451102643067728	0.0	0.0	0.32363946923873704	0.0	0.32363946923873704
sample0087	2.679859401518816	1.4045208878359747	3.869162306572733	3.5716354625597884	2.335200611577089	0.48170186874940585	4.21186729868018	0.0	0.0	1.3682850505153743	1.659914325543253	3.725934205792701	0.0	0.0	1.4045208878359747	0.0	0.0	1.777589686775752	0.0	0.0	0.0	0.0	0.0
sample0088	2.6710859996553666	0.6658447065967421	3.75238518588523	2.797975829880858	1.29864840893522	0.0	4.341759607253899	0.0	0.23718229484995396	0.8333064966572608	1.9381912317675276	3.6760781395045696	0.0	0.0	1.3142293997989527	0.0	0.0	1.1012313666878202	0.0	0.0	0.0	0.0	0.0
sample0089	2.4950477491373415	1.5311261578576096	3.82811978356293	3.638293324775778	2.2388169855999713	0.0	4.302167882244361	0.0	0.0	1.6494190872208585	2.2388169855999713	3.1622204731137873	0.0	0.0	1.8116925284519414	0.0	2.172731222242407	1.8897556259963724	0.0	0.0	0.0	0.0	0.0
sample0090	2.6814554712873817	1.3859380514763038	3.629189882324195	3.7281414915032163	2.3984044260096193	0.0	4.244044094203108	0.0	0.0	1.3562246628727412	2.0521871222656727	3.7334637596956535	0.0	0.0	1.8607205581596722	0.0	1.4990732616372602	1.7817737544848182	0.0	0.0	0.0	0.0	0.0
sample0091	2.0394948787643847	2.0111199828853286	4.138253804164165	3.7138422752516465	2.4045418527170206	0.0	4.1032572239406235	0.0	0.5196894062833187	1.6290117264097748	1.9128225148375093	2.892886214128301	0.0	0.0	1.6737476113170295	0.0	2.704715519568109	1.9003894882209236	0.0	0.0	0.0	0.0	0.0
sample0092	2.266776357730787	1.3034382419609312	3.7121230740776303	3.325136619503195	2.0832431756107055	0.0	4.38906491202393	0.0	0.0	1.4518130032120085	1.976514787416765	3.116555569389072	0.0	0.0	1.6501400888931186	0.9633400554768873	0.0	1.6034960142969306	0.0	0.0	0.0	0.281046489013899	0.0
sample0093	1.7582000842880672	1.6002290944164315	4.001648473462035	3.621405398650034	1.7797290517627542	0.0	4.26791053350187	0.0	0.592440945125316	1.5785261751761273	1.1020739408687776	2.4104218479540074	0.0	0.0	2.4054778298421287	0.0	1.9463116223328771	1.7116489994657336	0.0	0.0	0.0	0.0	0.0
sample0094	2.1088900531464723	1.2478731950394195	4.1842971674065295	3.6756727161737	2.1063174805717524	0.0	4.102730384404292	0.0	0.5154388858960869	1.5988362615872815	1.850151691858669	2.157378915874894	0.0	0.0	2.5109385949796663	0.0	0.8001903015419736	1.7628129257018024	0.0	0.0	0.0	0.2452425180036417	0.2452425180036417
sample0095	3.57779394803344	0.42656519522299036	3.9932569402938918	2.611256812766398	1.6940750925927286	0.0	4.070535638720377	0.0	0.0	0.42656519522299036	1.6940750925927286	3.882680758165461	0.0	0.0	0.6375560895778536	0.0	0.0	1.8521988752785092	0.0	0.0	0.0	0.0	0.0
sample0096	2.466548845252201	0.5393673049167049	4.036069322374564	3.0013721835146776	1.2609354326765891	0.0	4.204285124478901	0.0	0.0	0.0	0.8546583153478021	3.7300811613141174	0.0	0.0	0.6714950827530898	0.0	0.0	1.59290891370578	0.0	0.0	0.0	0.0	0.0
