sampleID	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Aeromonadaceae	Anaeroplasmataceae	Bacillaceae 1	Bacillaceae 2	Bacillales_Incertae Sedis XI	Bacteroidaceae	Bacteroidales_incertae_sedis	Bdellovibrionaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Brevibacteriaceae	Brucellaceae	Burkholderiales_incertae_sedis	Carnobacteriaceae	Caulobacteraceae	Chloroplast	Clostridiaceae 1	Clostridiaceae 2	Clostridiaceae 3	Clostridiaceae 4	Clostridiales_Incertae Sedis XI	Clostridiales_Incertae Sedis XII	Clostridiales_Incertae Sedis XIII	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Corynebacterineae_incertae_sedis	Cytophagaceae	Deferribacteraceae	Defluviitaleaceae	Demequinaceae	Dermabacteraceae	Desulfomicrobiaceae	Desulfovibrionaceae	Dietziaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Flavobacteriaceae	Fusobacteriaceae	Geodermatophilaceae	Gracilibacteraceae	Helicobacteraceae	Hyphomicrobiaceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Listeriaceae	Marinilabiaceae	Methanobacteriaceae	Methylobacteriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	Mycoplasmataceae	Nakamurellaceae	Neisseriaceae	Nocardiaceae	Nocardioidaceae	Nocardiopsaceae	Oxalobacteraceae	Paenibacillaceae 1	Pasteurellaceae	Peptococcaceae 1	Peptostreptococcaceae	Planococcaceae	Porphyromonadaceae	Prevotellaceae	Pseudomonadaceae	Pseudonocardiaceae	Puniceicoccaceae	Rhizobiaceae	Rhodospirillaceae	Rikenellaceae	Ruminococcaceae	Sanguibacteraceae	Shewanellaceae	Sinobacteraceae	Solirubrobacteraceae	Sphingobacteriaceae	Sphingomonadaceae	Spirochaetaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Thermoactinomycetaceae 1	Thermoplasmatales_incertae_sedis	Veillonellaceae	Verrucomicrobiaceae	Xanthomonadaceae
sample0018	1.8083727820560893	0.5675717342131358	0.0	0.0	0.3705719893683499	0.0	0.3705719893683499	0.0	2.3768105106247694	0.0	1.1181279309630405	0.0	0.0	0.0	0.0	0.0	0.3705719893683499	0.0	0.0	2.1105736880724595	1.7703709887864583	0.0	0.3705719893683499	0.0	0.0	1.0710917047298216	0.0	2.5604191365213853	0.0	0.0	0.0	1.1605640611327142	0.9582728205770646	0.0	0.0	0.3705719893683499	0.5675717342131358	0.0	1.3784780570149526	0.0	2.3356001657507353	1.8083727820560893	0.0	0.0	0.0	0.0	2.7795272102089825	0.0	4.169983245198541	3.641452748125595	0.0	0.0	0.0	0.9582728205770646	0.0	0.0	1.1605640611327142	0.0	0.0	0.702598963282711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8054514656115167	1.9666937393501733	3.35497132531149	0.0	3.1413544127430435	3.3031639970404583	0.0	0.0	0.0	0.0	0.8054514656115167	1.6311074471959903	3.6969367998666423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8833765026815985	1.9666937393501733	0.0	0.0	0.702598963282711	0.0	0.0
sample0019	1.4283117709332729	0.29944798411888895	0.0	0.0	0.9514260478948514	0.0	0.0	0.0	2.192750108665073	0.0	1.0385120003677082	0.0	0.29944798411888895	0.0	0.0	0.5996848076919106	0.0	0.0	0.0	1.3393974589941688	1.201148967854208	0.0	0.0	0.0	0.0	0.7755113538110169	0.0	2.4233533695833684	0.29944798411888895	0.0	0.0	0.7755113538110169	0.0	0.29944798411888895	0.0	0.47501062276956246	1.4593378806123964	0.0	0.47501062276956246	0.0	3.199047965926011	1.4593378806123964	0.0	0.0	0.0	0.0	2.568547553970708	0.0	4.075975511486904	3.876385213774925	0.0	0.29944798411888895	0.0	0.0	0.0	0.29944798411888895	0.8423824815290593	0.0	0.0	0.47501062276956246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47501062276956246	0.9514260478948514	3.1700185965920453	0.0	3.221624045453109	3.033462012451177	0.0	0.0	0.0	0.0	0.9514260478948514	1.5989697121360624	3.7324296775297383	0.0	0.0	0.0	0.0	0.0	0.29944798411888895	0.47501062276956246	0.29944798411888895	1.7372507223485205	2.3912947018898656	0.0	0.0	0.29944798411888895	0.0	0.0
sample0020	1.6084556735770053	0.0	0.0	0.0	1.3616588357389472	0.0	0.0	0.0	2.5906213046667497	0.0	1.333042476636848	0.0	0.0	0.0	0.0	0.5947069567007114	0.0	0.0	0.0	1.753767435725708	1.333042476636848	0.0	0.0	0.0	0.0	1.5023572517079349	0.0	2.0394748261022735	0.0	0.0	0.0	0.3920675742354841	0.7323349824995993	0.0	0.0	0.0	0.8366843348555337	0.0	0.0	0.0	2.549503467868231	1.269444685936059	0.0	0.0	0.0	0.0	2.329664975525893	0.0	4.14286975925957	3.6227288577564423	0.0	0.0	0.3920675742354841	0.0	0.0	0.0	1.1048756369129584	0.0	0.0	1.0517297118119275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3920675742354841	1.6387514424885425	3.0061657157597006	0.0	3.14974210547834	3.4006960624062335	0.0	0.0	0.3920675742354841	0.0	0.8366843348555337	1.5219393182713068	3.864506189285786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.796503348736061	2.1735030718729376	0.0	0.0	0.3920675742354841	0.0	0.0
sample0021	1.6123638593815242	0.5536510558507763	0.0	0.0	1.279817876525881	0.0	0.0	0.0	2.1663175730879285	0.0	1.181257058498129	1.4278248947966825	0.0	0.0	0.0	0.3596541707657813	0.3596541707657813	0.0	0.0	3.30555174276683	1.4864023605601273	0.0	0.0	0.0	0.0	1.181257058498129	0.0	2.1136239142061073	0.0	0.0	0.0	1.6758295532709533	0.3596541707657813	0.0	0.0	0.6872731671032755	1.0010111236912065	0.0	0.7893110720825732	0.0	3.0213058996426874	1.181257058498129	0.0	0.0	0.0	0.0	2.624517639855227	0.0	4.050075272022311	3.7607478133080012	0.0	0.0	0.0	0.3596541707657813	0.0	0.5536510558507763	0.8718775814377328	0.0	0.0	1.279817876525881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3596541707657813	1.279817876525881	3.3527535089552116	0.0	3.042119997199887	3.3623378491649083	0.0	0.0	0.0	0.0	1.1427160523114024	1.279817876525881	3.700303997482832	0.0	0.0	0.0	0.0	0.0	0.0	0.3596541707657813	0.0	1.4677408370478553	2.2885993460805074	0.0	0.0	0.5536510558507763	0.0	0.0
sample0022	1.6874356124934453	0.400357230141206	0.0	0.0	0.5146712714306786	0.0	0.0	0.0	2.0703128263207	0.0	0.400357230141206	0.0	0.0	0.0	0.0	0.0	0.5146712714306786	0.0	0.0	3.085455268300822	1.2825641416519067	0.0	0.0	0.0	0.2447660072057477	1.315579823726792	0.0	2.5335681083057646	0.2447660072057477	0.0	0.0	0.0	0.2447660072057477	0.0	0.0	0.0	0.2447660072057477	0.0	0.0	0.400357230141206	3.8029128607896263	1.5893780110761682	0.0	0.0	0.0	0.0	2.086773549149136	0.0	3.6463364508657525	3.9035813695933803	0.0	0.0	0.0	0.0	0.0	0.2447660072057477	0.2447660072057477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2447660072057477	1.8396533942386168	3.268482717306467	0.0	3.1553882857298707	2.7589356321554943	0.2447660072057477	0.0	0.0	0.0	0.0	1.3311917914088731	3.839948935137656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2447660072057477	1.4018011313915417	2.5335681083057646	0.0	0.0	0.2447660072057477	0.0	0.0
sample0023	1.6173036839565003	0.0	0.0	0.0	1.2831432500510214	0.0	0.0	0.0	1.7604262353703999	0.0	0.0	0.0	0.0	0.0	0.0	1.7449111291733037	0.48021488621756026	0.0	0.0	2.427860708813427	1.0456058321577222	0.0	0.0	0.0	0.0	1.4358253009594062	0.9583624736254477	2.9406376790431987	0.0	0.0	0.0	1.1182209987746925	1.0456058321577222	0.0	0.0	0.702679726454726	0.0	0.0	0.0	0.8490715336582134	3.4415878684016388	1.2831432500510214	0.0	0.0	0.0	0.48021488621756026	1.99135645299155	0.0	3.9412962023148888	3.9900133061156335	0.0	0.0	0.0	0.0	0.0	0.0	0.48021488621756026	0.0	0.0	1.4023878877246607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.440777991452292	3.0041930984008864	0.0	2.9376076678710974	2.6974697955373053	0.0	0.0	0.0	0.0	0.0	1.3661596815138624	3.8014138984317123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6379935111442374	2.025777637307062	0.0	0.0	0.702679726454726	0.0	0.0
sample0024	1.431314803733962	0.36169909904590103	0.0	0.0	0.9444376065064793	0.0	0.0	0.36169909904590103	2.0996302016665815	0.0	0.8750171992575659	0.0	0.0	0.0	0.0	0.0	0.36169909904590103	0.0	0.0	2.4011775257218795	1.524995481214764	0.0	0.0	0.0	0.0	1.1460808239348679	0.0	1.8362740132817428	0.0	0.0	0.0	0.36169909904590103	0.5562657809659887	0.0	0.0	0.36169909904590103	0.36169909904590103	0.0	0.5562657809659887	0.0	2.9185561328439187	1.0042755644422448	0.0	0.0	0.0	0.36169909904590103	2.684166056717467	0.0	4.191942005396307	3.7457185848931935	0.0	0.0	0.0	0.0	0.0	0.0	1.0042755644422448	0.0	0.0	0.8750171992575659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36169909904590103	1.18464391048386	3.260569059446276	0.0	2.7600700299727308	3.129574646132784	0.0	0.0	0.0	0.0	0.5562657809659887	1.3635633374097618	3.708701397655607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.524995481214764	1.3117054977423297	0.0	0.0	0.0	0.0	0.0
sample0025	1.6346912266394205	0.523755413932846	0.0	0.0	1.6899426138585567	0.0	0.0	0.0	2.287926351887182	0.0	1.0153712933613162	0.0	0.0	0.0	0.0	0.0	0.6541864809082113	0.0	0.0	2.4658861135077763	1.4457721495519302	0.0	0.0	0.0	0.0	1.3199505992830283	0.0	2.674423747759993	0.0	0.0	0.0	0.3364666194374711	0.6541864809082113	0.0	0.0	0.0	1.5284148303034895	0.0	0.0	0.523755413932846	3.281146166558743	1.5284148303034895	0.0	0.0	0.0	0.3364666194374711	2.1395454496059036	0.0	3.9849080644073935	3.829363507164875	0.0	0.0	0.0	0.0	0.0	0.0	0.3364666194374711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3364666194374711	1.959483332500475	3.3893525328338283	0.0	3.2553962408200237	3.3559678283305736	0.3364666194374711	0.0	0.0	0.0	1.0153712933613162	1.3874020735811643	3.7400982104734335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.523755413932846	1.7102145363886743	2.0804226716571863	0.0	0.0	0.3364666194374711	0.0	0.0
sample0026	1.4351319789343997	0.0	0.0	0.0	1.2520162099027201	0.0	0.0	0.0	2.1392438272044543	0.0	0.9292041111192536	0.28712392278374116	0.0	0.0	0.0	0.45847908326514963	0.5810302605495424	0.0	0.0	2.7215161042410023	1.4199279039146866	0.0	0.0	0.0	0.0	1.477789729955629	0.0	2.270727661091778	0.0	0.0	0.0	0.0	0.7547207619421757	0.0	0.0	0.0	0.6765014120967421	0.0	0.0	0.0	3.6306038116901576	1.1497622328405315	0.0	0.0	0.0	0.0	1.9720198409616696	0.0	3.83978813199901	3.966795300636134	0.0	0.0	0.0	0.0	0.0	0.45847908326514963	0.28712392278374116	0.0	0.0	1.0157681132225524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9676579843468982	3.474710045651295	0.0	3.389210676106129	3.0644720525875853	0.0	0.0	0.0	0.0	0.5810302605495424	1.2286202217315614	3.528520699702389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3154763183690106	2.5032926401786004	0.0	0.0	0.45847908326514963	0.0	0.0
sample0027	1.6898032674006989	0.27228770749041514	0.0	0.0	0.4383593602730376	0.0	0.0	0.0	2.449877530895422	0.0	1.0911385801582294	0.0	0.0	0.0	0.0	0.0	0.9468105777425928	0.0	0.0	3.4161700715656065	1.1992797979346126	0.0	0.0	0.0	0.0	0.9468105777425928	0.0	2.1763767336105944	0.0	0.0	0.0	0.27228770749041514	0.0	0.0	0.0	0.4383593602730376	0.4383593602730376	0.0	0.0	0.0	3.2612772549861533	1.1992797979346126	0.0	0.0	0.0	0.4383593602730376	2.8298615578143025	0.0	4.059639271237859	3.5746672311601855	0.0	0.0	0.0	0.0	0.0	0.0	1.0593006369368079	0.0	0.0	0.652022587309991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.173846564227969	3.2753627435711117	0.0	2.9264188033923215	3.677363601873156	0.0	0.0	0.0	0.0	0.652022587309991	1.0593006369368079	3.5046874097657206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7196907372618497	2.214974596044619	0.0	0.0	0.652022587309991	0.0	0.4383593602730376
sample0028	1.7408681802334576	0.0	0.0	0.0	0.5906511169219171	0.0	0.0	0.0	2.329183215181348	0.0	1.5533424074008704	0.0	0.0	0.0	0.0	0.0	0.7654560227732002	0.0	0.0	1.647816352649373	1.4765836407766488	0.0	0.0	0.0	0.0	1.347124036242175	0.0	2.2879939995416403	0.29345747706645064	0.0	0.0	0.4669949346691318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1076032208587026	1.6925955771195875	0.0	0.0	0.0	0.0	3.065720531380057	0.0	3.771261601761373	3.9409387682845787	0.29345747706645064	0.0	0.0	0.0	0.0	0.0	1.0998585469351423	0.4669949346691318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.733186220468175	3.435898239393115	0.0	3.4655946418599552	3.425005434884921	0.0	0.0	0.0	0.0	1.0651958438131062	1.503705517352126	3.7327562510952057	0.0	0.29345747706645064	0.0	0.0	0.0	0.0	0.0	0.4669949346691318	1.5414548478684584	2.569092299820888	0.0	0.0	0.29345747706645064	0.0	0.0
