sampleID	Actinobacteria	Bacteroidetes	Candidatus Saccharibacteria	Cyanobacteria/Chloroplast	Deferribacteres	Euryarchaeota	Firmicutes	Fusobacteria	Proteobacteria	Spirochaetes	Tenericutes	Verrucomicrobia
sample0017	2.0748788421155435	3.5518643107398344	0.0	0.0	0.22971829177769176	0.0	4.466813059870158	0.0	2.9431521078045364	0.0	0.22971829177769176	0.0
sample0018	2.5747331899617696	3.5924402089021505	0.0	0.0	1.156282404197982	1.0141775237823485	4.455135698193303	0.0	3.0095229326020623	0.0	0.80157368861693	0.0
sample0019	2.4378801738782956	3.499447987342752	0.29872795470610336	0.0	0.7743077083265576	0.0	4.4693522480505194	0.0	2.9726547535085643	0.4740491471445382	1.0371980375614656	0.0
sample0020	2.078691176800072	3.6668893858609826	0.0	0.0	0.38908969290981577	0.0	4.45569830813821	0.0	2.7011800589989825	0.0	1.5170707389655778	0.38908969290981577
sample0021	2.2299688373085846	3.575144963718627	0.0	0.0	1.6724644089793363	0.3577214857883814	4.459586835229161	0.0	3.0130473731581486	0.3577214857883814	1.565949821498842	0.0
sample0022	2.542423242692481	3.3743431708793046	0.0	0.0	0.0	0.0	4.484829654031832	0.0	2.7790596196862056	0.0	0.5161839938746621	0.0
sample0023	2.947046844647306	3.2193510726935446	0.0	0.0	1.1222928194089057	0.0	4.490236665278497	0.0	2.5314554359072945	0.0	1.642298454309824	0.0
sample0024	1.9045500761679401	3.329616721355058	0.0	0.0	0.3616331383192988	0.0	4.487547614726984	0.0	2.952479800518446	0.0	1.1845348280385726	0.0
sample0025	2.677316613908283	3.6711136210182636	0.0	0.0	0.33629303029707913	0.0	4.449205736728403	0.0	2.708214244400362	0.0	1.6896271850699827	0.0
sample0026	2.2793704801634544	3.639374261109363	0.0	0.0	0.0	0.0	4.4591376253183235	0.0	2.697998571735778	0.0	1.4330689057244883	0.0
sample0027	2.212149200936721	3.7834852348109775	0.0	0.0	0.27313970714174585	0.27313970714174585	4.424522608178013	0.0	3.0149743213986575	0.0	0.7961291687215623	0.0
sample0028	2.3123872035510273	3.7954708385572493	0.0	0.0	0.4651302491478395	0.0	4.406213873366284	0.0	3.2837939554738287	0.0	0.5885465607615293	0.0
sample0029	2.270456005382493	3.260108474743461	0.0	0.0	0.0	0.0	4.495232240553988	0.0	2.753721656000625	0.0	0.8439042601593246	0.0
sample0031	2.0606677841637726	3.5591339091740792	0.0	0.0	0.0	0.0	4.474876186988801	0.0	2.429075801367841	0.0	0.7634029014244412	0.0
sample0032	2.3386824710655945	3.5087764516072206	0.0	0.0	0.30727642907760155	0.0	4.4766250747276155	0.0	2.6428035322539025	0.0	0.6113962705462268	0.6113962705462268
sample0033	2.150375811976566	3.5501094205581456	0.0	0.0	0.0	0.0	4.473560942748448	0.0	2.5740568216203092	0.0	1.5768332160871603	0.0
sample0034	2.2097674009679307	3.6536561098385203	0.0	0.0	0.0	0.0	4.449964598373184	0.0	3.000856234422863	0.0	0.9051531294850123	0.0
sample0035	2.0238616240239105	3.8096612320407393	0.0	0.0	0.4272213845789836	0.0	4.4126840854340275	0.0	3.0875292898010667	0.4272213845789836	2.32455684288002	0.0
sample0036	2.376714801379135	3.52564478923464	0.0	0.0	0.2608293104943385	0.0	4.465933185936358	0.0	2.8765425330391925	0.0	2.4395199652940027	0.0
sample0037	2.088137941034099	3.8643942724744442	0.0	0.0	0.347774428281476	0.0	4.376427010611364	0.0	3.400445655993231	0.0	2.0422909127521858	0.0
sample0038	2.856315663344767	3.6296292989201566	0.0	0.0	0.0	1.012485458513037	4.438769505967795	0.0	3.137202128839108	0.0	1.513106298236369	0.0
sample0039	2.102929412203909	3.505810042081138	0.0	0.0	0.0	0.0	4.477434504536227	0.0	2.686314974758242	0.0	1.286405984331589	0.0
